,width,height,mean,std,digit
0,1.0,1.0,0.665615141955836,0.885054196731787,0
1,1.0,1.0,0.7129337539432177,0.9098770840679401,0
2,0.6666666666666666,1.0,0.3659305993690852,0.6460457536525127,0
3,0.8888888888888888,1.0,0.470031545741325,0.7470784705426216,0
4,1.0,1.0,0.6687697160883281,0.886804786602683,0
5,1.0,1.0,0.555205047318612,0.8146474324800722,0
6,1.0,0.6363636363636365,0.48264984227129337,0.7578855126131031,0
7,0.5555555555555555,1.0,0.26182965299684546,0.5199251622127988,0
8,1.0,0.8181818181818181,0.49842271293375395,0.7709922874684273,0
9,0.7777777777777777,1.0,0.5741324921135647,0.8280282189445954,0
10,1.0,1.0,0.7949526813880127,0.9458920859180727,0
11,0.6666666666666666,1.0,0.34700315457413256,0.6251725977478341,0
12,1.0,1.0,0.5394321766561515,0.8030586675318266,0
13,1.0,1.0,0.43848580441640383,0.718764284322014,0
14,1.0,0.8181818181818181,0.6782334384858045,0.8919735399307532,0
15,0.7777777777777777,1.0,0.42586750788643535,0.7069011067381016,0
16,1.0,0.8181818181818181,0.49842271293375395,0.7709922874684273,0
17,0.7777777777777777,1.0,0.3817034700315458,0.6628122115442022,0
18,0.8888888888888888,1.0,0.4574132492113565,0.7359785308439443,0
19,1.0,0.7272727272727273,0.42271293375394325,0.7038858157265012,0
20,1.0,1.0,0.5615141955835963,0.8191707515757981,0
21,0.7222222222222221,1.0,0.41324921135646686,0.6947190904692341,0
22,1.0,0.7272727272727273,0.41324921135646686,0.6947190904692339,0
23,0.7777777777777777,1.0,0.4605678233438486,0.7387813441794683,0
24,0.8333333333333333,1.0,0.4668769716088329,0.7443312066347757,0
25,0.5,1.0,0.33438485804416407,0.6107823163688987,0
26,1.0,1.0,0.6182965299684544,0.857098571103979,0
27,1.0,0.9090909090909092,0.4637223974763407,0.741565533387235,0
28,1.0,1.0,0.694006309148265,0.9003140779652151,0
29,0.5555555555555555,1.0,0.38801261829652994,0.6693641267105724,0
30,0.8333333333333333,1.0,0.4763406940063092,0.7525181892557796,0
31,1.0,0.8181818181818181,0.5299684542586751,0.7959100908233047,0
32,0.7777777777777777,1.0,0.3974763406940064,0.6790302515354486,0
33,1.0,1.0,0.5867507886435331,0.8366370950074503,0
34,0.7777777777777777,1.0,0.44164037854889593,0.7216812043502695,0
35,0.8888888888888888,1.0,0.44479495268138813,0.7245788170701372,0
36,0.8888888888888888,1.0,0.41324921135646686,0.6947190904692334,0
37,1.0,1.0,0.4794952681388014,0.755210849819313,0
38,1.0,1.0,0.7003154574132492,0.9035553791028242,0
39,1.0,1.0,0.662460567823344,0.8832896943260208,0
40,0.7777777777777777,1.0,0.4668769716088329,0.7443312066347755,0
41,0.8888888888888888,1.0,0.4574132492113565,0.7359785308439447,0
42,1.0,1.0,0.7287066246056783,0.9174807670686574,0
43,1.0,1.0,0.5331230283911673,0.798309406291763,0
44,1.0,1.0,0.608832807570978,0.8511168873429064,0
45,0.7777777777777777,1.0,0.4668769716088329,0.7443312066347757,0
46,0.8888888888888888,1.0,0.5205047318611988,0.788612444510513,0
47,1.0,0.8181818181818181,0.5299684542586751,0.7959100908233047,0
48,1.0,0.9090909090909092,0.6845425867507886,0.8953506443628622,0
49,0.9444444444444444,1.0,0.44164037854889593,0.7216812043502677,0
50,1.0,1.0,0.5993690851735016,0.8450015520237718,0
51,0.6666666666666666,1.0,0.5110410094637224,0.7811635159510663,0
52,1.0,0.8181818181818181,0.4511041009463722,0.7303165912080393,0
53,0.8333333333333333,1.0,0.49842271293375395,0.7709922874684277,0
54,1.0,1.0,0.555205047318612,0.8146474324800715,0
55,0.8888888888888888,1.0,0.3627760252365931,0.6426248474079942,0
56,0.7777777777777777,1.0,0.4006309148264985,0.6822097673715285,0
57,1.0,0.8181818181818181,0.7886435331230285,0.943426571016922,0
58,0.7777777777777777,1.0,0.4100946372239749,0.6916227870734716,0
59,1.0,0.8181818181818181,0.43848580441640383,0.7187642843220156,0
60,0.6666666666666666,1.0,0.44164037854889593,0.7216812043502691,0
61,1.0,1.0,0.6908517350157729,0.8986731728455518,0
62,1.0,0.4545454545454546,0.27760252365930604,0.5409340497128069,0
63,1.0,1.0,0.6056782334384859,0.849093370174142,0
